#    L    TT             EE             TE             PP             TP          
   287    0.46044E+04    0.55577E+01    0.10211E+03    0.18380E+07    0.44177E+03
   288    0.45757E+04    0.56965E+01    0.10308E+03    0.18301E+07    0.43825E+03
   289    0.45468E+04    0.58370E+01    0.10402E+03    0.18223E+07    0.43473E+03
   290    0.45177E+04    0.59792E+01    0.10493E+03    0.18145E+07    0.43120E+03
   291    0.44883E+04    0.61237E+01    0.10581E+03    0.18068E+07    0.42767E+03
   292    0.44584E+04    0.62696E+01    0.10667E+03    0.17991E+07    0.42414E+03
   293    0.44287E+04    0.64163E+01    0.10749E+03    0.17915E+07    0.42060E+03
   294    0.43985E+04    0.65656E+01    0.10830E+03    0.17839E+07    0.41707E+03
   295    0.43684E+04    0.67157E+01    0.10906E+03    0.17764E+07    0.41354E+03
   296    0.43379E+04    0.68684E+01    0.10980E+03    0.17689E+07    0.41000E+03
   297    0.43072E+04    0.70212E+01    0.11052E+03    0.17615E+07    0.40647E+03
   298    0.42763E+04    0.71766E+01    0.11119E+03    0.17541E+07    0.40294E+03
   299    0.42452E+04    0.73336E+01    0.11184E+03    0.17467E+07    0.39941E+03
   300    0.42140E+04    0.74910E+01    0.11245E+03    0.17394E+07    0.39589E+03
   301    0.41826E+04    0.76501E+01    0.11304E+03    0.17322E+07    0.39236E+03
   302    0.41511E+04    0.78103E+01    0.11361E+03    0.17250E+07    0.38885E+03
   303    0.41195E+04    0.79723E+01    0.11413E+03    0.17178E+07    0.38534E+03
   304    0.40877E+04    0.81360E+01    0.11461E+03    0.17107E+07    0.38183E+03
   305    0.40559E+04    0.83001E+01    0.11507E+03    0.17036E+07    0.37833E+03
   306    0.40239E+04    0.84653E+01    0.11550E+03    0.16966E+07    0.37483E+03
   307    0.39918E+04    0.86315E+01    0.11589E+03    0.16896E+07    0.37135E+03
   308    0.39596E+04    0.88004E+01    0.11626E+03    0.16827E+07    0.36786E+03
   309    0.39275E+04    0.89689E+01    0.11658E+03    0.16758E+07    0.36439E+03
   310    0.38951E+04    0.91377E+01    0.11687E+03    0.16689E+07    0.36092E+03
   311    0.38628E+04    0.93092E+01    0.11712E+03    0.16621E+07    0.35746E+03
   312    0.38305E+04    0.94804E+01    0.11735E+03    0.16553E+07    0.35401E+03
   313    0.37981E+04    0.96527E+01    0.11754E+03    0.16486E+07    0.35057E+03
   314    0.37657E+04    0.98262E+01    0.11770E+03    0.16419E+07    0.34714E+03
   315    0.37332E+04    0.99994E+01    0.11782E+03    0.16352E+07    0.34372E+03
